,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
86,Scarborough Village,43.7447342,-79.23947609999999,Dairy Queen,43.7395802,-79.2369911,Ice Cream Shop
87,Scarborough Village,43.7447342,-79.23947609999999,Subway,43.738283828941434,-79.236792129192,Sandwich Place
88,Scarborough Village,43.7447342,-79.23947609999999,Stephen's No Frills,43.737627,-79.246737,Grocery Store
89,Scarborough Village,43.7447342,-79.23947609999999,Mac's Convenience Store,43.738614536387075,-79.23857574098429,Convenience Store
90,Scarborough Village,43.7447342,-79.23947609999999,Swiss Chalet,43.740393078236075,-79.23280219143186,Restaurant
91,Scarborough Village,43.7447342,-79.23947609999999,All Star Interactive,43.73692399726582,-79.24519001507048,Bowling Alley
92,Scarborough Village,43.7447342,-79.23947609999999,McDonald's,43.73898520416951,-79.23986911307827,Fast Food Restaurant
93,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
94,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Tim Hortons,43.7349665,-79.2578892,Coffee Shop
95,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Chung Moi,43.73232776751296,-79.26932737877392,Chinese Restaurant
96,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
97,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Subway,43.73147093707659,-79.26869157944776,Sandwich Place
98,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Dollarama,43.734902,-79.25974,Discount Store
99,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,T-Bones Sizzling Steaks & Burgers,43.73529972402499,-79.2561926489366,Burger Joint
100,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Tim Hortons,43.732134410174226,-79.2682641425723,Coffee Shop
101,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Shoppers Drug Mart,43.732843,-79.268075,Pharmacy
102,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,TD Canada Trust,43.733135696904675,-79.2678938806074,Bank
103,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,KFC,43.7351,-79.2557,Fast Food Restaurant
104,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Tandy Leather,43.7269737868054,-79.26651349240451,Hobby Shop
105,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Pizza Pizza,43.73507309651425,-79.25766706466675,Pizza Place
106,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Fu Yao Supermarket,43.725053676622224,-79.25301949095291,Grocery Store
107,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Don Montgomery Arena,43.732549046367076,-79.26165774437062,Hockey Arena
108,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Rob's No Frills,43.732606,-79.266706,Grocery Store
109,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Gateway Newstands,43.7325102050885,-79.26385442345111,Convenience Store
110,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,TTC Bus #43 - Kennedy,43.73274357839762,-79.26408564983338,Bus Line
111,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,SRT - Moving Target,43.732974036277405,-79.26378835866568,Light Rail Station
112,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Dollar Tree,43.7326694,-79.2664148,Discount Store
113,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,NAPA AUTOPRO - Car Court Auto Clinic,43.7337102,-79.2643688,Auto Garage
114,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Hertz,43.734092,-79.258352,Rental Car Location
115,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Royal Congee Chinese Cuisine,43.724572,-79.253083,Chinese Restaurant
116,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,McDonald's,43.72459080446646,-79.2534620917188,Fast Food Restaurant
117,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,241 Pizza,43.731789007773415,-79.27127540453439,Pizza Place
118,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Cho's Wok,43.73491125371122,-79.25744041671894,Chinese Restaurant
119,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,Lam Kee B. B. Q. Restaurant,43.724812738000224,-79.25211067659093,Asian Restaurant
120,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Gingerman Restaurant,43.707844,-79.29558,Restaurant
121,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Dairy Queen,43.71037770465013,-79.29070115089417,Ice Cream Shop
122,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Mexitaco,43.708595,-79.2957,Mexican Restaurant
123,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,TD Canada Trust,43.70551884152723,-79.27801162004477,Bank
124,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Starbucks,43.70363408800729,-79.27766094132322,Coffee Shop
125,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,The Beer Store,43.7137652,-79.2729808,Beer Store
126,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Tim Hortons,43.7162878856343,-79.2833371460438,Coffee Shop
127,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Mackish Irish Pub,43.71993220129232,-79.28432762015194,Pub
128,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
129,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Subway,43.70906989947632,-79.29577449163514,Sandwich Place
130,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913774,Bus Line
131,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Subway Station,43.71122905571982,-79.27960224480387,Metro Station
132,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Station Bus Loop,43.71124084776515,-79.27957605867647,Bus Station
133,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,TTC Bus 102 Markham Road,43.711381420906115,-79.27958752636661,Bus Line
134,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Bakery On The Go,43.711270905205765,-79.27950587661704,Bakery
135,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Cafe on the go,43.71115104374148,-79.27946923512921,Bakery
136,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
137,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Clairlea Futbol Centre,43.71523429184505,-79.28650639185544,Soccer Field
138,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,St Clair Ave E & Pharmacy Ave,43.710194,-79.29087,Intersection
139,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Ave & Fairfax Cres,43.716187,-79.282936,Intersection
140,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,McDonald's,43.709283877697544,-79.29524527670384,Fast Food Restaurant
141,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Tom's No Frills,43.708313,-79.295954,Grocery Store
142,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Domino's Pizza,43.704880554394386,-79.28849865874372,Pizza Place
143,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Venice Fitness,43.718458697478525,-79.28457807779137,Gym
144,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Sullivan Studios,43.7190847329901,-79.28690268368864,General Entertainment
145,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Victoria Park Ave & St. Clair Ave E,43.709407546682264,-79.29566470720046,Intersection
146,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Lucky Lotto Conveniece,43.70879475993049,-79.29566470720046,Convenience Store
147,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Jim McPherson Park,43.71255503333639,-79.296396673236,Park
148,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,Warden Woods Ravine,43.70278510647247,-79.28118581474749,Trail
149,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Scarborough Bluffs,43.707779638489,-79.23723936080933,Beach
150,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Dairy Queen,43.722757687671276,-79.23562467098236,Ice Cream Shop
151,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Cathedral Bluffs Park,43.71889517184152,-79.23082724161875,Park
152,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Bluffer's Park Beach,43.713325524291214,-79.22779014538214,Beach
153,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Dairy Queen,43.7226367,-79.2354522,Ice Cream Shop
154,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Working Dog Saloon,43.719310658122566,-79.24979186737787,Sports Bar
155,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Canadian Tire,43.72100515830479,-79.23778954268072,Hardware Store
156,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Pizza Pizza,43.722490904836995,-79.23527706203652,Pizza Place
157,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Big Boy's Burgers,43.721751,-79.236301,Restaurant
158,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Pizza Pizza,43.7102,-79.24284,Pizza Place
159,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,Pizza Nova,43.718773438459344,-79.25114160040428,Pizza Place
160,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,The Birchcliff,43.69166644406541,-79.26453158481682,Café
161,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Jatujak,43.688420506662354,-79.2700732547006,Thai Restaurant
162,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Rosetta McLain Gardens,43.69701861855136,-79.25573911728534,Park
163,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
164,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Variety Village,43.69883533655271,-79.25795245225459,Gym
165,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Dairy Queen,43.694488962802616,-79.27699774503714,Ice Cream Shop
166,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Wimpy's Diner,43.68904771098145,-79.26948627518628,Diner
167,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Harvey's,43.69456108281205,-79.2759427181229,Restaurant
168,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Scarborough Gardens,43.6946465192162,-79.26223031725522,Skating Rink
169,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Birchmount Stadium,43.695322867712626,-79.26129341125488,College Stadium
170,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Crescentwood Park,43.686585473312626,-79.26647495571214,Park
171,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Prince Supermarket,43.6946133888628,-79.27387821822384,Convenience Store
172,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,Variety Village Sunshine Pool,43.69881350657984,-79.25661563873291,Gym Pool
173,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Starbucks,43.752465,-79.276364,Coffee Shop
174,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Canada Computers,43.75935629419452,-79.27893074490008,Electronics Store
175,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Harry's Drive-In,43.749195827391084,-79.27716177123996,Burger Joint
176,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Spicy Dragon,43.74921946341891,-79.27508200752006,Asian Restaurant
177,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
178,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Calabria Bakery,43.7616699583205,-79.26950674263456,Bakery
179,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,GoodLife Fitness Scarborough Kennedy and Lawrence,43.752151,-79.274801,Gym
180,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Tim Hortons,43.76601518629963,-79.2710841447115,Coffee Shop
181,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Kairali,43.754914739291834,-79.27694504646365,Indian Restaurant
182,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Harvey's,43.749703328915174,-79.27696736895734,Restaurant
183,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Karaikudi Chettinad South Indian Restaurant,43.756041539453136,-79.27627591942013,Indian Restaurant
184,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Nova Ristorante,43.74943391984183,-79.277629850556,Italian Restaurant
185,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Pho Vietnam,43.757770305647185,-79.27857193068989,Vietnamese Restaurant
186,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Lucky Chinese (Haka) Restaurant,43.75246481901907,-79.26531065358034,Chinese Restaurant
187,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Shoppers Drug Mart,43.748982,-79.276611,Pharmacy
188,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,TD Canada Trust,43.75192369719931,-79.26467835903168,Bank
189,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,FreshCo Pharmacy Lawrence,43.752733,-79.264041,Pharmacy
190,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Big Al's Pet Supercentre,43.75927894411595,-79.27832544749343,Pet Store
191,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,The Beer Store,43.7506033,-79.2768014,Beer Store
192,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,KFC,43.752966,-79.276152,Fast Food Restaurant
193,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Petro-Canada,43.749822,-79.27555,Gas Station
194,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Tim Hortons,43.7500656357244,-79.2740124464035,Coffee Shop
195,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Subway,43.74890746728806,-79.27545168997904,Sandwich Place
196,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Taco Bell,43.76085106353864,-79.27990769133459,Restaurant
197,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Pizza Pizza,43.752435186791544,-79.26472663879395,Pizza Place
198,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Blinds To Go,43.757146885289295,-79.27807331085205,Furniture / Home Store
199,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Burger King,43.75103452155183,-79.26553662122387,Fast Food Restaurant
200,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,TechDirect,43.75273882426964,-79.27656226036426,Electronics Store
201,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Kennedy Bowlerama,43.750512149749966,-79.27704001209094,Bowling Alley
202,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Bad Boy Furniture - Scarborough,43.75125720420175,-79.27563786506653,Furniture / Home Store
203,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Asia Spa,43.76186,-79.2797,Spa
204,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Arrow Furniture,43.7624884251454,-79.27926287055016,Furniture / Home Store
205,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Remedy'sRx - Lawrence Pharmacy,43.750617,-79.272169,Pharmacy
206,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,Flipper's Fish House,43.75074177969343,-79.27594349493613,American Restaurant
